"","symbol","weight"
"74432","ADCY1",5
"56041","ADCY10",8
"85127","ADCY2",3
"84052","ADCY3",5
"65694","ADCY4",6
"86386","ADCY5",11
"67344","ADCY6",2
"89170","ADCY7",11
"81877","ADCY8",7
"80325","ADCY9",14
"89850","ADCYAP1R1",4
"67230","ADD1",6
"74436","ADD2",11
"59193","ADD3",3
"80694","ADGB",13
"47107","ADH1A",1
"87880","ADH1C",6
"47997","ADH4",1
"81229","ADH5",5
"86388","ADH6",2
"73026","ADH7",3
"82657","ADHFE1",2
"28979","ADI1",1
"6273","ADIG",1
"51845","ADIPOR1",1
"85128","ADIPOR2",2
"51846","ADK",2
"73080","ADM",1
"5657","ADM2",1
"84868","ADNP",16
"64921","ADNP2",7
"22508","ADORA1",3
"87936","ADORA2A",4
"3217","ADORA3",1
"74443","ADPGK",3
"90399","ADPRH",4
"34395","ADPRHL1",2
"82674","ADPRHL2",2
"57664","ADPRM",1
"81230","ADRA1A",6
"18501","ADRA1B",1
"84869","ADRA2B",4
"65696","ADRA2C",3
"69041","ADRB2",2
"84054","ADRB3",1
"84870","ADRBK1",6
"34808","ADRBK2",1
"48131","ADRM1",2
"59740","ADSL",5
"74444","ADSS",3
"40383","ADSSL1",1
"51849","ADTRP",2
"88067","AEBP1",12
"74447","AEBP2",4
"86389","AEN",4
"27229","AFAP1",1
"40386","AFAP1L1",4
"74448","AFAP1L2",4
"89434","AFF1",10
"89816","AFF2",21
"73359","AFF3",13
"83057","AFF4",5
"83818","AFG3L2",3
"72057","AFM",2
"65702","AFMID",1
"89435","AFP",4
"33846","AFTPH",4
"89570","AGAP1",9
"88153","AGAP2",6
"80695","AGAP3",5
"87937","AGAP5",3
"86393","AGAP6",4
"85130","AGAP7",9
"24815","AGAP9",1
"88068","AGBL1",17
"89851","AGBL2",3
"81656","AGBL3",7
"65434","AGBL4",3
"74457","AGBL5",6
"30531","AGFG1",1
"87579","AGFG2",6
"87393","AGGF1",5
"83300","AGK",5
"74462","AGL",7
"90058","AGMAT",4
"74464","AGMO",3
"59237","AGPAT1",1
"71244","AGPAT3",2
"59287","AGPAT4",3
"65293","AGPAT5",1
"55648","AGPAT6",3
"6276","AGPAT9",1
"20016","AGPHD1",1
"63556","AGPS",1
"84057","AGRN",7
