"","symbol","weight"
"80732","COQ6",4
"21090","COQ9",1
"59564","CORIN",6
"71173","CORO1A",1
"73606","CORO1B",3
"80733","CORO1C",6
"88749","CORO2A",4
"84183","CORO2B",4
"84897","CORO6",3
"84184","CORO7",7
"41152","COTL1",2
"63883","COX10",8
"62590","COX11",1
"37724","COX14",1
"85266","COX15",3
"39931","COX16",1
"83323","COX17",2
"47056","COX19",1
"75432","COX20",3
"11897","COX4I2",2
"15242","COX5A",1
"6442","COX5B",1
"28016","COX6A1",1
"81204","COX6C",1
"52367","COX7A2",2
"1528","COX7A2L",1
"75434","COX7B2",3
"75436","CP",9
"59058","CPA1",7
"88814","CPA2",3
"75437","CPA3",1
"64662","CPA4",1
"46303","CPA5",1
"52370","CPA6",3
"90184","CPAMD8",17
"41156","CPB1",3
"52373","CPB2",4
"84186","CPD",6
"59460","CPE",2
"75442","CPEB1",7
"71986","CPEB2",4
"70547","CPEB3",2
"2886","CPEB4",1
"87956","CPED1",14
"64080","CPLX4",1
"4847","CPM",1
"87889","CPN1",4
"41162","CPN2",3
"39833","CPNE1",2
"83485","CPNE2",2
"37423","CPNE3",2
"70730","CPNE4",4
"75445","CPNE5",3
"25931","CPNE6",2
"86495","CPNE7",1
"75448","CPNE8",7
"73690","CPQ",8
"87403","CPS1",13
"84187","CPSF1",11
"85267","CPSF2",3
"73691","CPSF3",6
"85268","CPSF3L",3
"80734","CPSF4",4
"83091","CPSF6",6
"85269","CPSF7",2
"71284","CPT1A",6
"86496","CPT1B",5
"75450","CPT1C",7
"65107","CPT2",5
"75451","CPVL",3
"34459","CPXCR1",3
"83092","CPXM1",9
"85270","CPXM2",3
"69293","CPZ",3
"86497","CR1",15
"75454","CR1L",2
"88584","CR2",7
"67245","CRABP1",3
"86498","CRAMP1L",8
"88393","CRAT",9
"83325","CRB1",8
"25390","CRB2",2
"36414","CRB3",1
"46846","CRBN",2
"61814","CRCP",1
"15157","CREB1",2
"35554","CREB3",1
"36963","CREB3L1",4
"88080","CREB3L2",5
"75458","CREB3L3",8
"69295","CREB3L4",2
"65987","CREB5",4
"87048","CREBBP",15
"75462","CREBL2",2
"75463","CREBRF",5
"34256","CREBZF",1
"84190","CRELD1",3
"56352","CRELD2",2
"72223","CREM",4
"75465","CRHBP",2
"65266","CRHR1",4
"57712","CRHR2",2
"80735","CRIM1",5
"69296","CRIP1",2
"55415","CRIP2",1
"88209","CRIPAK",13
"75467","CRISP1",2
"72356","CRISP2",1
"90374","CRISPLD1",7
"73441","CRISPLD2",3
"8","CRK",1
"15045","CRKL",1
"82111","CRLF1",1
"57303","CRLF2",1
"85272","CRLF3",2
"85273","CRLS1",3
"85274","CRMP1",7
"89346","CRNKL1",14
"64564","CRNN",5
"84193","CROCC",10
"59892","CROCCP2",1
"75472","CROT",4
"71751","CRP",3
"87385","CRTAC1",5
"75473","CRTAM",4
"81737","CRTAP",5
"69298","CRTC1",3
"65314","CRTC2",3
"67246","CRTC3",2
"80984","CRX",3
"65989","CRY1",2
"87957","CRY2",3
"69299","CRYBA1",1
"87404","CRYBA2",2
"22702","CRYBA4",1
"3985","CRYBB1",1
"52381","CRYBB2",1
"75475","CRYBB3",2
"86138","CRYBG3",12
"48040","CRYGA",5
"41181","CRYGB",1
"84898","CRYGC",4
"60989","CRYGD",2
"85275","CRYL1",2
"59390","CRYM",1
"72784","CRYZ",1
"87685","CRYZL1",3
"63599","CS",5
"86139","CSAD",6
"75479","CSAG1",3
"81302","CSDE1",6
"65992","CSE1L",6
"63600","CSF1",5
"65993","CSF1R",3
"85277","CSF2RA",3
"90258","CSF2RB",5
"80517","CSF3",2
"70733","CSF3R",6
"82131","CSGALNACT1",1
"84899","CSGALNACT2",3
"72028","CSH1",2
"89256","CSH2",2
"47785","CSHL1",4
"80642","CSMD1",44
"80203","CSMD2",30
"87276","CSMD3",27
"46461","CSN1S1",2
"69300","CSN3",2
"75490","CSNK1A1",4
"82405","CSNK1A1L",4
"85279","CSNK1E",5
"39932","CSNK1G1",1
"73095","CSNK1G2",2
"25996","CSNK1G3",1
"87049","CSNK2A1",3
"63940","CSNK2A2",1
"70947","CSPG4",9
"9143","CSPG5",2
"71752","CSPP1",16
"56949","CSRNP1",2
"69302","CSRNP2",3
"60554","CSRNP3",3
"48842","CSRP1",2
"41192","CSRP2",2
"85281","CSRP2BP",10
"12837","CST1",2
"75494","CST11",2
"90443","CST2",1
"75495","CST3",2
"68712","CST5",1
"17142","CST7",1
"8490","CST8",1
"3195","CST9",1
"65456","CST9L",1
"85282","CSTF1",1
"27238","CSTF2",2
"75496","CSTF2T",5
"85284","CSTF3",9
"52391","CSTL1",1
"10705","CT45A6",1
"69303","CT47B1",5
"20690","CTAG2",1
"86215","CTAGE1",4
"75498","CTAGE5",6
"86503","CTAGE9",5
"41199","CTBP1",1
"37735","CTBP2",1
"52396","CTBS",1
"88210","CTC1",8
"88211","CTCF",17
"69304","CTCFL",5
"57991","CTDP1",2
"87601","CTDSP1",1
"33920","CTDSPL",3
"75502","CTDSPL2",3
"83909","CTGF",3
"60326","CTH",3
"73790","CTIF",5
"18091","CTLA4",1
"75504","CTNNA1",7
"70548","CTNNA2",14
"88265","CTNNA3",6
"81739","CTNNAL1",7
"60014","CTNNB1",3
"75507","CTNNBL1",6
"75508","CTNND1",7
"70948","CTNND2",12
"84901","CTNS",2
"87686","CTPS1",3
"39392","CTPS2",3
"55166","CTR9",3
"30358","CTRB2",1
"9630","CTRC",2
"83686","CTRL",2
"87802","CTSA",3
"73640","CTSB",2
"65036","CTSC",2
"6464","CTSD",1
"75510","CTSE",4
"60015","CTSF",3
"71286","CTSG",1
"13407","CTSH",1
"86504","CTSL1",4
"82132","CTSL2",3
"13556","CTSO",2
"16106","CTSS",3
"89860","CTSZ",2
"64823","CTTN",2
"82270","CTTNBP2",13
"75512","CTTNBP2NL",6
"57584","CTU2",1
"75513","CUBN",25
"66001","CUEDC1",2
"81069","CUL1",2
"85287","CUL2",5
"84199","CUL3",5
"60992","CUL4A",3
"83094","CUL4B",8
"88082","CUL5",5
"85288","CUL7",11
"89861","CUL9",9
"6469","CUTA",1
"74284","CUX1",5
"75517","CUX2",6
"58449","CWC22",4
"89699","CWC25",2
"75518","CWC27",5
"38911","CWF19L1",3
"55306","CWF19L2",5
"81668","CWH43",6
"59937","CX3CL1",2
"83834","CX3CR1",4
"75520","CXADR",2
"18721","CXCL10",1
"88083","CXCL17",2
"6470","CXCL2",1
"84200","CXCL6",3
"16503","CXCR1",1
"89057","CXCR3",6
"85289","CXCR4",3
"52413","CXCR5",1
"5456","CXCR6",1
"62752","CXCR7",3
"58714","CXorf21",2
"85290","CXorf22",14
"75526","CXorf23",5
"16943","CXorf24",1
"75527","CXorf26",4
"89445","CXorf30",5
"66002","CXorf36",4
"21736","CXorf40A",2
"55367","CXorf40B",2
"22712","CXorf48",1
"75531","CXorf56",2
"84201","CXorf57",7
"70734","CXorf58",7
"21581","CXorf59",1
"61622","CXorf61",1
"87687","CXorf64",2
"59359","CXorf65",5
"25392","CXorf66",2
"68976","CXorf67",2
"50897","CXXC1",1
"64664","CXXC11",2
"64567","CYB561",1
"69310","CYB561D2",2
"87238","CYB5A",2
"41229","CYB5D1",2
"62962","CYB5D2",1
"73256","CYB5R1",4
"80923","CYB5R2",2
"71437","CYB5R4",4
"47536","CYBASC3",1
"50898","CYBB",2
"89589","CYBRD1",4
"69313","CYFIP1",5
"87050","CYFIP2",13
"83466","CYHR1",5
"85291","CYLC1",5
"75536","CYLC2",4
"89446","CYLD",2
"984","CYP11A1",1
"75538","CYP11B1",7
"57714","CYP11B2",4
"69315","CYP17A1",3
"41236","CYP1A1",1
"52421","CYP1A2",2
"62753","CYP1B1",2
"62452","CYP20A1",2
"73371","CYP21A2",3
"82406","CYP24A1",6
"40134","CYP26A1",2
"85292","CYP26B1",7
"17739","CYP27A1",1
"82174","CYP27B1",3
"10722","CYP27C1",1
"88084","CYP2A13",10
"4160","CYP2A6",1
"47598","CYP2A7",1
"86508","CYP2A7P1",1
"86140","CYP2B6",5
"31998","CYP2C18",3
"73096","CYP2C19",6
"75541","CYP2C8",3
"63466","CYP2C9",3
"83530","CYP2D6",4
"86509","CYP2D7P1",7
"73994","CYP2E1",2
"86510","CYP2F1",5
"36218","CYP2G1P",1
"85293","CYP2S1",6
"17995","CYP2U1",1
"57410","CYP2W1",2
"85294","CYP39A1",4
"73257","CYP3A4",4
"75544","CYP3A43",3
"12699","CYP3A5",2
"52429","CYP3A7",5
"75545","CYP46A1",2
"57038","CYP4A11",8
"90078","CYP4A22",3
"84203","CYP4B1",5
"67515","CYP4F11",7
"6475","CYP4F12",4
"41241","CYP4F2",4
"47146","CYP4F22",2
"61952","CYP4F3",3
"84204","CYP4F8",1
"75549","CYP4V2",2
"33256","CYP4X1",4
"82202","CYP4Z1",2
"31085","CYP51A1",2
"16558","CYP7A1",3
"34942","CYP7B1",6
"60557","CYP8B1",3
"29154","CYR61",3
"69320","CYSLTR1",6
"82078","CYSLTR2",1
"86511","CYSTM1",2
"48850","CYTH1",3
"25934","CYTH2",2
"59569","CYTH3",2
"25398","CYTH4",4
"61953","CYTIP",2
"45439","D2HGDH",1
"85297","DAAM1",8
"21129","DAAM2",7
"56358","DAB1",5
"62382","DAB2",5
"88212","DAB2IP",7
"75553","DACH1",3
"81308","DACH2",5
"68516","DACT1",2
"88982","DACT2",2
"83749","DACT3",1
"3269","DAD1",1
"52438","DAG1",2
"83577","DAGLA",6
"41248","DAGLB",1
"85090","DAK",4
"84205","DALRD3",9
"75556","DAND5",2
"26350","DAO",1
"15585","DAOA",1
"66014","DAP",4
"83095","DAP3",5
"85298","DAPK1",6
"28385","DAPK2",2
"3501","DAPK3",1
"41252","DAPP1",2
"432","DARC",1
"84206","DARS",4
"22716","DARS2",2
"75558","DAXX",2
"45660","DAZAP1",5
"157","DAZL",1
"82271","DBC1",9
"83434","DBH",7
"75559","DBI",1
"75560","DBN1",4
"3502","DBNDD1",1
"37065","DBNDD2",3
"41254","DBNL",1
"8211","DBP",1
"61161","DBR1",3
"8502","DBT",1
"27240","DBX1",1
"90405","DBX2",4
"88817","DCAF10",4
"75561","DCAF11",8
"75562","DCAF12",2
"87803","DCAF12L1",5
"36713","DCAF12L2",3
"75563","DCAF13",3
"16504","DCAF15",1
"90406","DCAF17",4
"52443","DCAF4",1
"15335","DCAF4L1",1
"80455","DCAF4L2",8
"86309","DCAF5",5
"75564","DCAF6",8
"40068","DCAF7",2
"47290","DCAF8",4
"87479","DCAF8L1",7
"66017","DCAF8L2",2
"52445","DCAKD",1
"57960","DCBLD1",3
"52446","DCBLD2",2
"75566","DCC",15
"67866","DCD",1
"60994","DCDC1",2
"41260","DCDC2B",1
"7803","DCDC2C",1
"89299","DCDC5",3
"84209","DCHS1",18
"89672","DCHS2",23
"10735","DCK",1
"84210","DCLK1",6
"56063","DCLK2",4
"52449","DCLK3",2
"86513","DCLRE1A",2
"10736","DCLRE1B",1
"64089","DCLRE1C",5
"75572","DCN",2
"6481","DCP1B",1
"71753","DCP2",2
"41267","DCPS",3
"75573","DCST1",8
"85301","DCST2",6
"67251","DCSTAMP",3
"87804","DCT",5
"61956","DCTN1",4
"87688","DCTN2",6
"68295","DCTN4",3
"75578","DCTN6",2
"81955","DCUN1D1",3
"86311","DCUN1D2",4
"75579","DCUN1D3",1
"41271","DCUN1D4",2
"17315","DCUN1D5",1
"69333","DCX",2
"74142","DDAH1",2
"86313","DDB1",11
"72707","DDB2",2
"83910","DDC",5
"75583","DDHD1",4
"85304","DDHD2",5
"87890","DDI1",5
"82987","DDI2",2
"84214","DDIT4",1
"83096","DDIT4L",2
"14360","DDN",1
"82494","DDO",2
"55723","DDOST",2
"88733","DDR1",5
"65140","DDR2",12
"75589","DDRGK1",2
"60844","DDX1",3
"75590","DDX10",2
"90185","DDX11",11
"68629","DDX17",3
"75591","DDX18",3
"31089","DDX19A",1
"71290","DDX20",4
"58934","DDX21",5
"84216","DDX23",4
"49721","DDX24",3
"75594","DDX25",2
"75597","DDX26B",11
"75600","DDX27",6
"28695","DDX28",1
"62453","DDX31",5
"82435","DDX39A",3
"85305","DDX39B",2
"90079","DDX3X",9
"75602","DDX4",6
"89347","DDX41",5
"52458","DDX42",4
"69339","DDX43",4
"75605","DDX46",4
"31092","DDX47",1
"50081","DDX49",6
"63605","DDX5",6
"21583","DDX50",4
"83793","DDX51",4
"61958","DDX52",2
"59394","DDX53",2
"61162","DDX54",3
"65319","DDX55",8
"82785","DDX56",2
"85307","DDX58",3
"73510","DDX59",4
"88497","DDX6",3
"75607","DDX60",5
"75611","DDX60L",4
"81113","DEAF1",8
"16776","DEC1",1
"41279","DECR1",3
"73511","DECR2",1
"33710","DEDD",1
"63975","DEDD2",4
"75612","DEF6",5
"72788","DEF8",1
"50359","DEFB1",1
"13899","DEFB105A",1
"75613","DEFB108B",1
"35778","DEFB112",1
"82988","DEFB113",3
"82698","DEFB114",1
"1219","DEFB115",1
"69341","DEFB118",2
"6487","DEFB121",1
"29167","DEFB125",3
"1544","DEFB126",1
"89348","DEFB127",1
"6133","DEFB128",1
"19962","DEFB129",2
"13225","DEFB132",1
"38919","DEFB136",1
"6044","DEFB4B",1
"69342","DEGS1",4
"17318","DEGS2",1
"29168","DEK",3
"60016","DENND1A",7
"89863","DENND1B",12
"75618","DENND1C",6
"52464","DENND2A",3
"60996","DENND2C",5
"61961","DENND2D",3
"73831","DENND3",9
"75620","DENND4A",4
"85308","DENND4B",12
"87959","DENND4C",8
"69343","DENND5A",8
"90156","DENND5B",11
"81312","DEPDC1",5
"33261","DEPDC1B",2
"73997","DEPDC4",5
"75627","DEPDC5",18
"90444","DEPDC7",4
"84220","DERA",2
"75628","DESI2",1
"75629","DET1",4
"54972","DFFA",4
"32933","DFFB",2
"61963","DFNA5",6
"80081","DFNB31",3
"56362","DFNB59",3
"48852","DGAT1",3
"58937","DGAT2",2
"25936","DGAT2L6",2
"90186","DGCR14",6
"69344","DGCR2",5
"66029","DGCR6",2
"75630","DGCR8",4
"66030","DGKA",2
"68837","DGKB",5
"81314","DGKD",10
"85309","DGKE",4
"89058","DGKG",8
"56363","DGKH",4
"73696","DGKI",7
"81956","DGKQ",2
"59574","DGKZ",1
"58717","DGUOK",4
"89866","DHCR24",4
"52471","DHCR7",1
"89257","DHDDS",5
"45344","DHDH",1
"75640","DHFRL1",2
"49881","DHPS",4
"52472","DHRS11",1
"11901","DHRS12",2
"87605","DHRS13",4
"80164","DHRS2",4
"75641","DHRS3",1
"89590","DHRS4",2
"68977","DHRS4L2",4
"56364","DHRS7",4
"85311","DHRS7B",1
"73884","DHRS7C",2
"38485","DHRS9",1
"9656","DHRSX",1
"63609","DHTKD1",6
"75644","DHX15",9
"83099","DHX16",3
"56365","DHX29",2
"75645","DHX30",8
"63977","DHX32",5
"24283","DHX33",2
"52476","DHX34",4
"41302","DHX35",2
"90080","DHX36",6
"82699","DHX37",7
"73920","DHX38",4
"72944","DHX40",3
"89258","DHX57",9
"72029","DHX58",4
"82585","DHX8",7
"84223","DHX9",8
"8508","DIABLO",1
"73697","DIAPH1",7
"75650","DIAPH2",10
"75651","DIAPH3",7
"86216","DICER1",8
"86142","DIDO1",11
"69351","DIEXF",3
"71754","DIMT1",1
"60207","DIO2",2
"87845","DIP2A",11
"87846","DIP2B",9
"88715","DIP2C",9
"15952","DIRAS2",2
"75655","DIRAS3",1
"80925","DIRC1",1
"90129","DIRC2",3
"75656","DIS3",5
"85315","DIS3L",5
"86516","DIS3L2",7
"89770","DISC1",6
"82921","DISP1",9
"83102","DISP2",6
"75661","DIXDC1",3
"86517","DKC1",7
"28637","DKK2",1
"83752","DKK3",4
"75664","DKK4",3
"64434","DKKL1",2
"85316","DLAT",3
"85317","DLC1",12
"36967","DLD",1
"75668","DLEC1",8
"87689","DLG1",15
"81316","DLG2",8
"89259","DLG3",3
"17320","DLG4",1
"75669","DLG5",4
"82272","DLGAP1",6
"72188","DLGAP2",8
"65583","DLGAP3",3
"80742","DLGAP4",8
"69355","DLGAP5",4
"66034","DLK1",1
"86217","DLL1",5
"86518","DLL3",2
"12967","DLL4",2
"57043","DLST",5
"66035","DLX1",1
"10751","DLX2",1
"67643","DLX3",1
"81317","DLX5",5
"71045","DLX6",5
"9664","DMAP1",1
"87961","DMBT1",11
"80522","DMBX1",1
"41330","DMC1",2
"87606","DMD",56
"55796","DMGDH",7
"86314","DMKN",5
"82176","DMP1",3
"40136","DMPK",2
"17494","DMRT1",1
"81319","DMRT2",4
"87805","DMRT3",2
"12182","DMRTA1",2
"73258","DMRTC1",1
"57587","DMRTC2",3
"32685","DMTF1",1
"70587","DMWD",1
"87239","DMXL1",20
"85027","DMXL2",28
"81320","DNA2",12
"75686","DNAAF1",1
"31100","DNAAF2",2
"80605","DNAAF3",3
"88586","DNAH1",17
"89944","DNAH10",28
"88085","DNAH11",28
"85321","DNAH12",22
"86521","DNAH14",23
"88821","DNAH17",31
"89019","DNAH2",24
"82080","DNAH3",19
"84228","DNAH5",20
"88396","DNAH6",24
"75722","DNAH7",28
"85324","DNAH8",22
"75728","DNAH9",29
"84232","DNAI1",6
"67798","DNAI2",2
"41367","DNAJA1",2
"60998","DNAJA3",2
"85326","DNAJA4",3
"2520","DNAJB1",2
"58939","DNAJB12",6
"82922","DNAJB13",3
"9670","DNAJB14",1
"66043","DNAJB2",2
"81321","DNAJB4",3
"83487","DNAJB5",5
"66044","DNAJB6",2
"75730","DNAJB7",3
"86143","DNAJB8",2
"75731","DNAJB9",2
"37770","DNAJC1",2
"41370","DNAJC10",2
"80083","DNAJC11",5
"80419","DNAJC13",14
"83943","DNAJC14",7
"4635","DNAJC15",1
"75734","DNAJC16",6
"75735","DNAJC19",1
"84234","DNAJC2",4
"41375","DNAJC21",1
"56008","DNAJC22",1
"41376","DNAJC24",1
"6135","DNAJC25-GNG10",1
"18098","DNAJC27",2
"82588","DNAJC28",3
"75736","DNAJC3",4
"56718","DNAJC30",1
"33712","DNAJC4",2
"20523","DNAJC5",1
"85327","DNAJC5B",3
"52517","DNAJC5G",1
"52518","DNAJC6",5
"71760","DNAJC7",4
"75737","DNAJC8",1
"75738","DNAJC9",6
"41381","DNAL1",3
"68713","DNALI1",4
"28858","DNASE1L1",1
"65324","DNASE1L2",2
"72945","DNASE1L3",5
"64887","DNASE2",4
"64937","DNASE2B",1
"90376","DND1",3
"48877","DNER",1
"85028","DNHD1",16
"89351","DNM1",7
"33932","DNM1L",1
"57996","DNM1P46",1
"67644","DNM2",7
"75741","DNM3",8
"82884","DNMBP",10
"75743","DNMT1",12
"81153","DNMT3A",9
"87962","DNMT3B",3
"55798","DNMT3L",2
"60246","DNPEP",5
"75745","DNTT",6
"41391","DNTTIP1",4
"87963","DNTTIP2",5
"64888","DOC2A",4
"89260","DOCK1",8
"88086","DOCK10",15
"90409","DOCK11",23
"81960","DOCK2",12
"75757","DOCK3",15
"87482","DOCK4",16
"84236","DOCK5",13
"82496","DOCK6",9
"88267","DOCK7",20
"89544","DOCK8",15
"80457","DOCK9",12
"41404","DOK1",3
"25630","DOK2",3
"75767","DOK3",4
"66051","DOK4",2
"70868","DOK5",3
"58462","DOK6",1
"63612","DOLK",2
"88563","DOLPP1",2
"56162","DOM3Z",4
"84237","DONSON",6
"75770","DOPEY1",9
"84238","DOPEY2",10
"81745","DOT1L",13
"72085","DPAGT1",4
"39781","DPCD",1
"68485","DPCR1",6
"89673","DPEP1",3
"89123","DPEP3",3
"47899","DPF1",1
"5403","DPF2",1
"17640","DPH1",1
"32936","DPH2",4
"57047","DPM1",4
"66054","DPM2",1
"48885","DPM3",2
"89020","DPP10",15
"80747","DPP3",4
"73259","DPP4",7
"90260","DPP6",9
"45978","DPP7",3
"85335","DPP8",6
"63247","DPP9",2
"3915","DPPA2",1
"41415","DPPA3",2
"90081","DPPA4",2
"75775","DPRX",2
"75776","DPT",3
"69377","DPY19L1",2
"75777","DPY19L2",6
"71935","DPY19L3",4
"75781","DPY19L4",6
"41417","DPYD",2
"22386","DPYS",3
"39592","DPYSL2",5
"82924","DPYSL3",6
"4165","DPYSL4",1
"75783","DPYSL5",4
"75784","DQX1",5
"75786","DRAM1",5
"16698","DRAXIN",2
"85336","DRD1",1
"86219","DRD2",3
"88213","DRD3",1
"64366","DRD4",1
"81671","DRD5",4
"62764","DRG1",2
"73999","DRG2",1
"89084","DRGX",4
"90035","DROSHA",10
"84904","DRP2",3
"37485","DSC1",3
"80084","DSC2",13
"81810","DSC3",3
"69379","DSCAM",13
"88397","DSCAML1",13
"61626","DSCR3",2
"17997","DSCR4",1
"12377","DSCR6",2
"88398","DSE",11
"75797","DSEL",5
"56679","DSG1",4
"52535","DSG2",4
"88590","DSG3",9
"75799","DSG4",6
"82925","DSN1",4
"85091","DSP",20
"85092","DSPP",10
"89495","DST",62
"85337","DSTYK",5
"82701","DTD1",1
"80748","DTHD1",3
"75821","DTL",2
"75822","DTNA",2
"89867","DTNB",4
"83108","DTNBP1",2
"88823","DTWD1",2
"73100","DTWD2",1
"59772","DTX1",4
"69383","DTX2",6
"36219","DTX2P1",1
"75825","DTX3",3
"75828","DTX3L",4
"61819","DTX4",2
"10774","DTYMK",2
"81323","DUOX1",13
"81324","DUOX2",6
"37775","DUOXA1",1
"4640","DUOXA2",1
"32866","DUPD1",2
"73703","DUS1L",2
"41436","DUS2L",2
"88734","DUS3L",4
"7362","DUS4L",1
"10777","DUSP1",1
"88564","DUSP10",9
"52545","DUSP11",1
"56374","DUSP12",1
"54949","DUSP13",3
"60720","DUSP15",2
"83110","DUSP16",7
"75833","DUSP18",2
"75834","DUSP19",3
"6527","DUSP2",1
"48892","DUSP21",3
"82275","DUSP22",2
"80749","DUSP26",1
"89448","DUSP27",10
"5404","DUSP4",1
"62649","DUSP6",1
"85338","DUSP7",4
"41438","DUSP9",2
"75836","DUT",1
"60331","DUXA",1
"70950","DVL1",2
"59497","DVL3",1
"34609","DYDC1",1
"23898","DYDC2",1
"75837","DYM",1
"87240","DYNC1H1",32
"60845","DYNC1I1",5
"41442","DYNC1LI1",4
"60566","DYNC1LI2",4
"88269","DYNC2H1",23
"88824","DYNC2LI1",3
"15163","DYNLT3",1
"73886","DYRK1A",11
"39199","DYRK1B",1
"56376","DYRK2",4
"68838","DYRK3",4
"71550","DYRK4",2
"75842","DYSF",23
"56722","DYTN",6
"87758","DYX1C1",6
"72507","DZANK1",11
"88500","DZIP1L",7
"85344","DZIP3",9
"61168","E2F1",5
"75847","E2F3",3
"31116","E2F4",4
"75848","E2F6",2
"85345","E2F7",3
"85346","E2F8",6
"86144","E4F1",5
"85347","EAF1",1
"17836","EAF2",1
"85348","EAPP",3
"71990","EARS2",3
"46465","EBAG9",1
"88825","EBF1",6
"75852","EBF2",7
"45551","EBF3",3
"63468","EBF4",4
"75854","EBLN2",3
"52553","EBNA1BP2",1
"59579","EBP",1
"51542","EBPL",1
"81327","ECD",5
"75855","ECE1",9
"81328","ECE2",7
"72509","ECEL1",6
"20444","ECH1",1
"75856","ECHDC1",6
"38928","ECHDC2",3
"57722","ECHDC3",1
"41459","ECI1",2
"72086","ECI2",1
"52554","ECM1",4
"84906","ECM2",6
"84246","ECT2",4
"41461","ECT2L",1
"75860","EDA",2
"85029","EDA2R",3
"75861","EDAR",4
"29197","EDC3",2
"87759","EDC4",5
"82276","EDDM3A",5
"32726","EDEM1",1
"71441","EDEM2",3
"75862","EDEM3",5
"41462","EDIL3",2
"75863","EDN1",5
"88400","EDN2",1
"61974","EDN3",1
"84248","EDNRA",3
"45671","EDNRB",2
"82081","EEA1",10
"75864","EED",5
"90475","EEF1A1",8
"41465","EEF1A2",3
"81155","EEF1B2",2
"35250","EEF1D",4
"36156","EEF1G",1
"71298","EEF2",5
"75866","EEF2K",7
"89449","EEFSEC",2
"75868","EEPD1",5
"75870","EFCAB11",1
"71299","EFCAB12",5
"75872","EFCAB13",8
"87964","EFCAB3",4
"29198","EFCAB4A",1
"69394","EFCAB4B",4
"90261","EFCAB5",10
"75874","EFCAB6",7
"83111","EFCAB7",5
"65042","EFCAB8",1
"8528","EFCAB9",1
"57723","EFEMP1",5
"66078","EFEMP2",3
"75877","EFHA1",3
"88214","EFHA2",8
"5894","EFHB",1
"56814","EFHC1",4
"68486","EFHC2",6
"82589","EFHD1",1
"55369","EFNA1",3
"82703","EFNA3",3
"41478","EFNA4",2
"60847","EFNA5",1
"18411","EFNB1",1
"59773","EFNB2",2
"17601","EFNB3",3
"47014","EFR3A",4
"88501","EFR3B",5
"57372","EFS",1
"80928","EFTUD1",4
"75880","EFTUD2",7
"52568","EGF",5
"36760","EGFEM1P",2
"85350","EGFL6",4
"82590","EGFL8",2
"34844","EGFLAM",4
"80525","EGFR",5
"85351","EGR1",3
"61171","EGR2",3
"68246","EGR3",5
"87691","EHBP1",10
"84249","EHBP1L1",11
"69397","EHD1",3
"84250","EHD2",4
"75883","EHD3",3
"18794","EHD4",1
"15336","EHF",1
"60175","EHHADH",5
"83885","EHMT1",10
"65463","EHMT2",6
"66082","EHMT2-AS1",1
"17152","EI24",3
"67645","EID2B",1
"44989","EID3",1
"21136","EIF1AD",1
"81156","EIF1AX",3
"56952","EIF2A",2
"75886","EIF2AK1",5
"41487","EIF2AK2",3
"75887","EIF2AK3",4
"86524","EIF2AK4",10
"75888","EIF2B1",3
"83112","EIF2B2",2
"87807","EIF2B3",2
"31120","EIF2B4",3
"75889","EIF2B5",4
"88215","EIF2C1",8
"85353","EIF2C2",11
"75890","EIF2C3",4
"75891","EIF2C4",4
"52576","EIF2D",4
"80930","EIF2S1",3
"90377","EIF2S2",5
"67254","EIF2S3",2
"27362","EIF3A",7
"75892","EIF3B",3
"10797","EIF3C",1
"75893","EIF3D",2
"62765","EIF3E",2
"48908","EIF3F",2
"85355","EIF3G",4
"68179","EIF3H",2
"83490","EIF3I",6
"72511","EIF3K",3
"82704","EIF3L",4
"59065","EIF3M",1
"52578","EIF4A1",2
"84251","EIF4A2",10
"81838","EIF4A3",5
"80751","EIF4B",2
"17715","EIF4E1B",1
"22751","EIF4E2",1
"82112","EIF4ENIF1",9
"75894","EIF4G1",11
"56863","EIF4G2",2
"84252","EIF4G3",9
"81963","EIF4H",1
"64337","EIF5",2
"90187","EIF5B",5
"52582","EIF6",2
"41502","ELAC1",1
"81748","ELAC2",8
"80752","ELANE",1
"75895","ELAVL1",4
"90188","ELAVL3",7
"84253","ELAVL4",1
"83838","ELF1",8
"12379","ELF2",2
"66088","ELF3",2
"75897","ELF4",5
"69401","ELFN1",5
"36626","ELFN2",5
"85357","ELK1",5
"75900","ELK3",3
"45345","ELK4",1
"80753","ELL",5
"75901","ELL2",6
"58467","ELL3",3
"75903","ELMO1",11
"88649","ELMO2",8
"57412","ELMO3",1
"7927","ELMOD1",1
"81157","ELMOD2",1
"81673","ELMOD3",3
"83945","ELN",8
"50798","ELOF1",1
"57051","ELOVL3",3
"41510","ELOVL4",3
"90189","ELOVL5",5
"72946","ELOVL6",4
"75906","ELP2",6
"63090","ELP3",1
"5587","ELP4",2
"68714","ELP5",4
"20830","ELP6",2
"83115","ELTD1",10
"75908","EMB",3
"82436","EMC1",10
"18802","EMC10",1
"85359","EMC2",4
"1567","EMC3",1
"28037","EMC4",1
"52587","EMC7",3
"81894","EMC8",1
"66092","EMC9",4
"28810","EMCN",1
"61420","EMD",2
"67404","EME1",3
"47605","EMID1",1
"67646","EMID2",3
"84255","EMILIN1",3
"89261","EMILIN2",7
"85360","EMILIN3",4
"58723","EML1",6
"71766","EML2",8
"75912","EML3",6
"90190","EML4",7
"88752","EML5",14
"73101","EML6",13
"86145","EMP1",1
"18803","EMP3",1
"75914","EMR1",5
"66095","EMR2",11
