,node,importance,In CGC
252,ACVR2A,0.000368076940082905,Yes
253,SMAD3,0.0003674729506539543,Yes
254,HLF,0.0003649545921658577,Yes
255,ACVR2B,0.00036370295116748455,No
256,VCL,0.00036312373287251,No
257,E2F2,0.00036311018042770217,No
259,CASP3,0.0003622065847098804,Yes
260,NUDT3,0.00035970610145688326,No
261,RORA,0.0003583564482864191,No
262,NFIC,0.00035750361999793234,No
263,CCNE2,0.0003568249105902115,No
264,FRMD6,0.0003557952385847291,No
265,POU2F1,0.00035146603754117816,No
267,TUBB,0.0003503971570776096,No
268,IGF1,0.00035018253727296683,No
269,TGOLN2,0.00034942305241783154,No
270,VAV3,0.00034902797786266754,No
271,CHD9,0.0003489045255367051,No
272,TBPL1,0.000348703237209932,No
273,THRA,0.0003470253587189112,No
274,USF1,0.00034657207526205084,No
275,PGR,0.0003464129899084017,No
278,PER2,0.00034529472810577034,No
279,TMBIM6,0.0003451148041277392,No
281,FZD9,0.0003439049179181193,No
282,PCNA,0.0003437700347857291,No
284,LYN,0.00034224992085673563,No
285,PPARG,0.0003411895006527147,Yes
286,CAND1,0.00034105636221906915,No
287,SMURF2,0.0003408485641859834,No
288,STAT3,0.0003402834825180611,Yes
289,FOXA2,0.00034021049144541813,No
290,DAZAP2,0.0003385479743947775,No
291,PTEN,0.00033703376495409473,Yes
293,MARCKS,0.00033546667476642137,No
294,RYBP,0.00033333976023335027,No
295,NFIB,0.00033122319659814055,Yes
296,TAOK1,0.0003306283197813054,No
298,IGF1R,0.0003292715879995517,No
299,LBR,0.00032805443974572805,No
300,ITPR1,0.0003266086490988993,No
301,NRBF2,0.00032580392187474234,No
302,GRIN2A,0.00032529270455241156,Yes
303,DNMT3A,0.00032430588354932685,Yes
305,NCKAP1,0.00032358417894806977,No
306,NCOA2,0.0003230143735023953,Yes
307,PDPK1,0.00032299200546748814,No
309,GIGYF1,0.00032053946297354617,No
311,RAPGEF2,0.000318865029770095,No
312,MCC,0.0003183002315676541,No
313,ZBTB16,0.00031810270834233033,Yes
314,SOD2,0.0003178769999607689,No
315,FOXP2,0.00031747942629561726,No
316,BAZ2B,0.00031726508437519054,No
317,FOXM1,0.0003171259417176979,No
320,ZFPM2,0.0003147328898237425,No
321,PBX1,0.00031442016470515564,Yes
322,PFN2,0.00031397061478793535,No
323,SUV39H2,0.00031292654357020636,No
324,MAP3K2,0.0003125781535354807,No
325,WNK1,0.0003125302552455308,No
326,CHRM3,0.0003106328183649567,No
327,MAPK6,0.0003105029394294144,No
328,MAFK,0.000309611557629427,No
329,CDC25A,0.0003088048409916927,No
330,NCOA1,0.00030877477223761613,Yes
331,PIK3R1,0.00030873671640638093,Yes
332,HUWE1,0.00030769339879228435,No
334,LPP,0.0003064177347652241,Yes
335,GSK3B,0.00030567110613807867,No
336,RAB8B,0.0003055367541317829,No
337,WAC,0.0003051243698312165,No
338,PURB,0.0003048880124968465,No
339,TGFBR2,0.0003047417866437568,Yes
340,MAP1B,0.0003040037218434484,No
341,RPS6KA5,0.0003039884471015695,No
342,RORB,0.0003035439873599341,No
343,GAPDH,0.00030333309705561,No
344,ATP2A2,0.00030204251136430944,No
345,RALGPS1,0.0003015766817809567,No
346,GATA6,0.0003006138760016242,No
347,ELK3,0.0003004444746237264,No
349,CCND2,0.0003001576455659341,Yes
350,HSP90AA1,0.0002999506964804988,Yes
351,RALGPS2,0.0002997665004452336,No
352,KLF3,0.0002990589555558065,No
353,SMG1,0.0002974887905303846,No
354,TRIM3,0.00029727602303342143,No
355,TFDP2,0.0002967157742317878,No
356,STRN,0.0002959300565321314,Yes
